"course_id","course_name","currency","best_price_value","min_custom_price","max_custom_price","coupons_remaining"
7293859,"Claude Certified Architect Foundations Practice Exams CCAR-F","INR",399,479,799,0
7281521,"Databricks Context Engineer Associate Practice Exams 2026","INR",399,479,799,0
7246331,"NVIDIA NCP-AAI Agentic AI Practice Exams 2026 Prep","INR",399,479,799,0
7222481,"CompTIA SecAI+ CY0-001 Practice Exams | 2026 Prep","INR",399,479,799,0
7115109,"Practice Exams for AWS Certified Security Specialty SCS-C03","INR",399,479,799,0
7075457,"AWS Certified Generative AI Developer Professional Practice","INR",399,479,799,0
7046977,"IAPP AIGP Practice Exams | AI Governance Mock Tests","INR",399,479,799,0
7046173,"Salesforce Agentforce Specialist Practice Exam | March 2026","INR",399,479,799,0
6961767,"Juniper JNCIA-MistAI Practice Tests | JN0-253 Exam Prep 2026","INR",399,479,799,0
6880781,"Google Cloud Security Operations Engineer Full Practice Test","INR",399,479,799,0
6616739,"Google Cloud Generative AI Leader Exam: Practice Tests 2026","INR",399,519,799,0
6546559,"Google Cloud Data Practitioner Certification Tests 2026","INR",399,479,799,0
6385875,"Certified Cloud Security Professional-CCSP PracticeExam 2026","INR",399,479,799,0
6377441,"CSSLP Certification Practice Exam | ISC2 CSSLP Mock Tests","INR",399,479,799,0
6377393,"ISSMP Certification Practice Exam | ISC2 ISSMP Mock Tests","INR",399,479,799,0
6377369,"ISSEP Certification Practice Exam | (ISC)² ISSEP Mock Tests","INR",399,479,929,0
6377317,"ISSAP Certification Practice Exam | Full Length Mock Tests","INR",399,479,799,0
6373933,"CISSP Certification (ISC)² Practice Exam | 2026 Updated","INR",399,479,799,0
6339295,"AWS AI Practitioner AIF-C01 Practice Exams 2026","INR",399,479,799,0
6209733,"UiPath Specialized AI Professional Practice Tests SAIv1 2026","INR",399,519,2099,0
6209509,"Databricks Generative AI Engineer Associate: Practice Exam","INR",399,489,2139,0
6122309,"Databricks Spark Developer Associate 2026 | Practice Exams","INR",399,489,799,0
6112139,"Databricks Data Engineer Associate Practice Exam 2026","INR",399,479,799,0
6109287,"Databricks ML Associate Certification Practice Exams 2026","INR",399,479,799,0
6109073,"Databricks Certified Data Analyst Associate: Practice Tests","INR",399,479,799,0
6080591,"BTA CBSA Exam Prep: Practice Tests & Cert Guide","INR",399,479,799,0
6074227,"BTA CBBF Practice Exams: Pass on the 1st Try","INR",399,479,799,0
6038776,"BTA Certified Blockchain Developer - Ethereum: Practice Exam","INR",399,479,799,0
5954706,"AWS SAA-C03 Certified Solutions Architect Associate Practice","INR",399,529,2099,0
5940246,"AWS SAP-C02 Certified Solutions Architect Professional Test","INR",399,479,799,0
5916582,"AWS ANS-C01 Advanced Networking Specialty Practice Exams","INR",399,479,1649,0
5915890,"AWS Certified DevOps Pro (DOP-C02) Practice Exams 2026","INR",399,479,1509,0
5913164,"Databricks Certified Data Engineer Professional Tests 2026","INR",399,479,799,0
5895760,"GCP Professional Cloud Developer Practice Tests Updated 2026","INR",399,519,799,0
5894192,"Databricks Machine Learning Professional: Practice Exam 2026","INR",399,519,799,0
5892186,"AWS Certified Data Engineer Associate: DEA-C01 Practice Exam","INR",399,479,1419,0
5889350,"Google Cloud Database Engineer Certification Tests 2026","INR",399,489,1309,0
5887092,"Google Cloud Pro DevOps Engineer: Full Practice Tests 2026","INR",399,519,1959,0
5885448,"GCP Professional Cloud Network Engineer Practice Exams 2026","INR",399,559,2879,0
5881976,"Google Workspace Admin: Associate Practice Exams 2026","INR",399,479,799,0
5877836,"GCP Security Pro: Ace the Exam with Realistic Practice Tests","INR",399,489,1569,0
5872018,"Google Associate Cloud Engineer Practice Exams 2026","INR",399,479,799,0
5871940,"Google Cloud Digital Leader Practice Tests | CDL 2026 Prep","INR",399,479,1419,0
5866962,"Google Cloud Professional ML Engineer Practice Tests | 2026","INR",399,519,2189,0
5863618,"Google Cloud Data Engineer Certification Practice Tests 2026","INR",399,519,2729,0
5863430,"Google Professional Cloud Architect PCA Practice Tests 2026","INR",399,519,2229,0
